    Iteration    Epoch    TimeElapsed    LearnRate    TrainingLoss    ValidationLoss    TrainingAccuracy    ValidationAccuracy
         6350       35       00:03:04      0.00025         0.10895           0.61625               93.75                81.044
         6400       36       00:03:06      0.00025         0.39004           0.60612                  75                81.593
         6450       36       00:03:07      0.00025        0.047976           0.67707                 100                77.473
         6500       36       00:03:09      0.00025        0.045597           0.57164                 100                81.044
         6550       36       00:03:10      0.00025         0.58355           0.63169               81.25                81.319
         6600       37       00:03:12      0.00025        0.054345           0.61322                 100                80.769
         6650       37       00:03:13      0.00025          0.1533           0.61208               93.75                80.769
         6700       37       00:03:15      0.00025         0.46531           0.60035               81.25                81.868
         6734       37       00:03:16      0.00025         0.16396           0.63554                87.5                82.143
Training stopped: Max epochs completed
