1A,1B,1C,1D,1E,2A,2B,2C,2D,2E,3A,3B,3C,3D,3E,4A,4B,4C,4D,4E,5A,5B,5C,5D,5E
32.9220396981688,30.9510911256465,31.0037653458873,33.1289531210618,30.540671433407,25.6697380778854,26.4666915650151,21.8258369233629,34.5189747686758,27.6414932859403,23.1304327225692,17.1423220074524,29.8382203111261,28.3890094456682,29.7025679481981,26.8475966750412,22.6284192533781,31.410380623689,33.7889775324239,31.9443120525106,29.6805204755996,27.8281149476618,32.8675022516297,29.2570726805866,32.506769421952
29.3984399153902,31.5077509651783,31.0226854797418,33.538146158503,28.5353551937566,27.7459577102369,20.2288872200051,31.1883890105202,30.7451632903639,28.2185992821378,21.7142621673516,26.084074060338,25.0658789132782,27.311253092657,29.8641600967864,30.2825869950277,21.6333132905785,37.1069782702556,31.5803726031593,32.1742677964355,33.8650907704059,28.3481293110294,32.9163437012869,31.6385652242423,31.1499358445883
28.6348949883626,31.0662667867278,30.8235449996615,31.0143694815975,30.0932588751513,25.0878318230567,24.358122046435,31.7268196371349,32.6102661440671,27.6204824342457,19.8301375596572,26.3435764598289,26.264608509786,28.325130438929,32.6604648037443,32.8746486413082,22.5410451132517,33.4033962350636,27.8880316378379,33.2249857873894,30.7585101814003,30.4407244399577,32.577371753269,29.5693829762952,33.2116718027928
28.9437816931355,32.600919735794,32.7094940173488,30.8587250997949,33.6277829219308,35.029104829264,19.7060056366231,30.9641187341583,29.0705391076751,29.8916828895177,22.0066869011485,24.917482973404,30.2248224687462,29.8263628294041,27.7405300415402,32.454343178122,26.4638609396807,32.3688877336069,30.8081554736809,29.75693767377,29.2754028199694,35.3590352844327,27.1072487840305,31.4281746001635,31.9721166215054
30.4677251228259,30.6170778849569,29.4801300169109,29.0119296628889,31.1881548296767,30.1138602722269,20.3429993316568,28.5466828920072,21.5641156660469,27.9147333670077,22.0527793657378,26.5724242309726,31.5439028648674,28.3072067139324,27.8375412626507,32.4491875565981,23.1390250280332,32.9791010973855,27.2250862690261,36.5185011723262,34.665855929622,25.201727269776,31.7885518215552,27.8360003968659,30.9374908984152
29.1504116494953,29.4479075111235,31.7061609765435,29.5197280207665,31.5722529956455,32.0699485448554,23.1614862916478,30.0225821820629,30.3698506291107,24.7603039736574,25.7694134705634,25.767363161547,26.2486746894858,27.8694081481259,29.6114031856292,34.4220160482348,27.2274950687328,31.0351825312279,30.8073174676478,36.5862245979446,33.248647929685,35.5104061704353,26.7157198899538,23.3458154579052,33.6381398369499
31.3970350632116,29.0950215421995,33.3558445286292,33.0113625523964,30.8405402257984,25.2612431539408,22.621548823251,25.5437592955638,36.9750114615029,32.7952176469148,29.7126138620836,23.0840718567255,25.4037823160229,29.5017628034948,29.0313005775519,31.2930212615319,24.6623109687661,31.3995991584697,29.3295777807154,34.5809189260906,27.7160268921156,26.4580799641202,32.3790858820533,26.5656045499667,30.9337093970631
32.1299787019425,31.4287383267509,30.3596068304307,30.5403430980596,31.2435482137798,24.0394361768971,28.4687675661722,36.3846902038802,27.0395046766894,27.3355670999613,21.1797566337057,21.4404791737982,24.5711840624079,28.6768549604789,30.2666893264503,30.2325253213309,29.0619805385632,32.5881099445644,28.4356775217704,29.4093935189757,33.4007313280075,31.1599625591557,32.6013764520838,29.5007811297377,30.8918639469896
28.3451128745169,30.1039141555619,31.2483207904028,32.5296505114988,31.6025475308581,24.9000153616708,29.3290277161974,27.9493019017335,23.2020839592715,27.1481290249923,21.6526636825887,27.204986747837,25.7101235309435,30.4338057962432,28.7815597583253,29.8656759785829,30.7235703112075,33.3082744488896,29.4381028722196,33.9195801886606,34.5282692003824,33.6382458971086,32.51476220615,24.1715638480783,27.5544023438146
33.3353360411158,31.2311626700049,30.3374258249521,31.1683932801903,31.6786036995039,22.8754150813042,20.8946829244317,31.8565645075754,32.1225930715095,28.8702080094381,27.6665411381721,19.2323750380793,23.7468102661538,28.8312446711198,30.2152820416396,32.1860501484914,26.7087958432569,31.018082161134,29.6807466509365,29.3783828362028,31.6469059518405,25.863343427741,31.898375422844,27.7385380566618,32.9098186520698
